region,type,SingleAVGPrice,NonTypeAvgPrice
Albany,conventional,1.49261538461538,1.60053846153846
Albany,organic,1.70846153846154,1.60053846153846
Atlanta,conventional,1.15876923076923,1.40292307692308
Atlanta,organic,1.64707692307692,1.40292307692308
BaltimoreWashington,conventional,1.47523076923077,1.62384615384615
BaltimoreWashington,organic,1.77246153846154,1.62384615384615
Boise,conventional,1.25184615384615,1.49261538461538
Boise,organic,1.73338461538462,1.49261538461538
Boston,conventional,1.46569230769231,1.66053846153846
Boston,organic,1.85538461538462,1.66053846153846
BuffaloRochester,conventional,1.40707692307692,1.521
BuffaloRochester,organic,1.63492307692308,1.521
California,conventional,1.22092307692308,1.51123076923077
California,organic,1.80153846153846,1.51123076923077
Charlotte,conventional,1.39169230769231,1.71676923076923
Charlotte,organic,2.04184615384615,1.71676923076923
Chicago,conventional,1.57246153846154,1.68653846153846
Chicago,organic,1.80061538461538,1.68653846153846
CincinnatiDayton,conventional,1.09953846153846,1.31138461538462
CincinnatiDayton,organic,1.52323076923077,1.31138461538462
Columbus,conventional,1.12646153846154,1.28907692307692
Columbus,organic,1.45169230769231,1.28907692307692
DallasFtWorth,conventional,0.913384615384615,1.16330769230769
DallasFtWorth,organic,1.41323076923077,1.16330769230769
Denver,conventional,1.18646153846154,1.34353846153846
Denver,organic,1.50061538461538,1.34353846153846
Detroit,conventional,1.21092307692308,1.30930769230769
Detroit,organic,1.40769230769231,1.30930769230769
GrandRapids,conventional,1.54030769230769,1.57246153846154
GrandRapids,organic,1.60461538461538,1.57246153846154
GreatLakes,conventional,1.29723076923077,1.39761538461538
GreatLakes,organic,1.498,1.39761538461538
HarrisburgScranton,conventional,1.37030769230769,1.54792307692308
HarrisburgScranton,organic,1.72553846153846,1.54792307692308
HartfordSpringfield,conventional,1.53938461538462,1.84938461538462
HartfordSpringfield,organic,2.15938461538462,1.84938461538462
Houston,conventional,0.846615384615385,1.09261538461538
Houston,organic,1.33861538461538,1.09261538461538
Indianapolis,conventional,1.19846153846154,1.30076923076923
Indianapolis,organic,1.40307692307692,1.30076923076923
Jacksonville,conventional,1.35876923076923,1.63184615384615
Jacksonville,organic,1.90492307692308,1.63184615384615
LasVegas,conventional,1.09461538461538,1.41338461538462
LasVegas,organic,1.73215384615385,1.41338461538462
LosAngeles,conventional,1.10984615384615,1.37261538461538
LosAngeles,organic,1.63538461538462,1.37261538461538
Louisville,conventional,1.19384615384615,1.34061538461538
Louisville,organic,1.48738461538462,1.34061538461538
MiamiFtLauderdale,conventional,1.42261538461538,1.58338461538462
MiamiFtLauderdale,organic,1.74415384615385,1.58338461538462
Midsouth,conventional,1.29415384615385,1.49061538461538
Midsouth,organic,1.68707692307692,1.49061538461538
Nashville,conventional,1.03784615384615,1.23676923076923
Nashville,organic,1.43569230769231,1.23676923076923
NewOrleansMobile,conventional,1.21476923076923,1.37938461538462
NewOrleansMobile,organic,1.544,1.37938461538462
NewYork,conventional,1.53276923076923,1.76646153846154
NewYork,organic,2.00015384615385,1.76646153846154
Northeast,conventional,1.46815384615385,1.65346153846154
Northeast,organic,1.83876923076923,1.65346153846154
NorthernNewEngland,conventional,1.40492307692308,1.54838461538462
NorthernNewEngland,organic,1.69184615384615,1.54838461538462
Orlando,conventional,1.364,1.62007692307692
Orlando,organic,1.87615384615385,1.62007692307692
Philadelphia,conventional,1.50123076923077,1.65953846153846
Philadelphia,organic,1.81784615384615,1.65953846153846
PhoenixTucson,conventional,0.786153846153846,1.25084615384615
PhoenixTucson,organic,1.71553846153846,1.25084615384615
Pittsburgh,conventional,1.25092307692308,1.34676923076923
Pittsburgh,organic,1.44261538461538,1.34676923076923
