region,type,SingleAVGPrice
Albany,conventional,1.49261538461538
Albany,organic,1.70846153846154
Albany,None,1.60053846153846
Atlanta,conventional,1.15876923076923
Atlanta,organic,1.64707692307692
Atlanta,None,1.40292307692308
BaltimoreWashington,conventional,1.47523076923077
BaltimoreWashington,organic,1.77246153846154
BaltimoreWashington,None,1.62384615384615
Boise,conventional,1.25184615384615
Boise,organic,1.73338461538462
Boise,None,1.49261538461538
Boston,conventional,1.46569230769231
Boston,organic,1.85538461538462
Boston,None,1.66053846153846
BuffaloRochester,conventional,1.40707692307692
BuffaloRochester,organic,1.63492307692308
BuffaloRochester,None,1.521
California,conventional,1.22092307692308
California,organic,1.80153846153846
California,None,1.51123076923077
Charlotte,conventional,1.39169230769231
Charlotte,organic,2.04184615384615
Charlotte,None,1.71676923076923
Chicago,conventional,1.57246153846154
Chicago,organic,1.80061538461538
Chicago,None,1.68653846153846
CincinnatiDayton,conventional,1.09953846153846
CincinnatiDayton,organic,1.52323076923077
CincinnatiDayton,None,1.31138461538462
Columbus,conventional,1.12646153846154
Columbus,organic,1.45169230769231
Columbus,None,1.28907692307692
DallasFtWorth,conventional,0.913384615384615
DallasFtWorth,organic,1.41323076923077
DallasFtWorth,None,1.16330769230769
Denver,conventional,1.18646153846154
Denver,organic,1.50061538461538
Denver,None,1.34353846153846
Detroit,conventional,1.21092307692308
Detroit,organic,1.40769230769231
Detroit,None,1.30930769230769
GrandRapids,conventional,1.54030769230769
GrandRapids,organic,1.60461538461538
GrandRapids,None,1.57246153846154
GreatLakes,conventional,1.29723076923077
GreatLakes,organic,1.498
GreatLakes,None,1.39761538461538
HarrisburgScranton,conventional,1.37030769230769
HarrisburgScranton,organic,1.72553846153846
HarrisburgScranton,None,1.54792307692308
HartfordSpringfield,conventional,1.53938461538462
HartfordSpringfield,organic,2.15938461538462
HartfordSpringfield,None,1.84938461538462
Houston,conventional,0.846615384615385
Houston,organic,1.33861538461538
Houston,None,1.09261538461538
Indianapolis,conventional,1.19846153846154
Indianapolis,organic,1.40307692307692
Indianapolis,None,1.30076923076923
Jacksonville,conventional,1.35876923076923
Jacksonville,organic,1.90492307692308
Jacksonville,None,1.63184615384615
LasVegas,conventional,1.09461538461538
LasVegas,organic,1.73215384615385
LasVegas,None,1.41338461538462
